episode,total_reward,env_reward,pos_reward,epsilon,duration,steps,scores_made,scores_against
241,4.777667,-20.000000,24.277667,0.616015,72.553236,1225,349,5082
242,16.435167,-19.000000,34.435167,0.614783,103.392015,1741,351,5103
243,5.692500,-20.000000,25.192500,0.613553,75.742379,1281,352,5124
244,14.217500,-20.000000,33.717500,0.612326,101.259280,1704,353,5145
245,13.022500,-20.000000,32.522500,0.611101,99.422554,1651,354,5166
246,19.848000,-18.000000,36.348000,0.609879,109.484741,1835,357,5187
247,7.970000,-19.000000,25.970000,0.608659,79.125872,1317,359,5208
248,39.877667,-16.000000,53.377667,0.607442,160.352745,2693,364,5229
249,17.770667,-19.000000,35.770667,0.606227,108.366224,1800,366,5250
250,4.577500,-20.000000,24.077500,0.605015,73.145536,1223,367,5271
251,18.672833,-18.000000,35.172833,0.603805,105.661607,1781,370,5292
252,8.090333,-19.000000,26.090333,0.602597,78.248822,1318,372,5313
253,9.490000,-21.000000,30.490000,0.601392,92.401827,1549,372,5334
254,20.080667,-19.000000,38.080667,0.600189,118.580380,1922,374,5355
255,12.465333,-17.000000,27.465333,0.598989,82.470568,1388,378,5376
256,12.585333,-17.000000,27.585333,0.597791,82.922794,1388,382,5397
257,20.870667,-17.000000,35.870667,0.596595,108.207483,1806,386,5418
258,3.702833,-20.000000,23.202833,0.595402,69.876296,1163,387,5439
259,12.717500,-18.000000,29.217500,0.594211,88.582794,1474,390,5460
260,20.240167,-19.000000,38.240167,0.593023,114.969058,1922,392,5481
261,4.577667,-20.000000,24.077667,0.591837,73.222115,1224,393,5502
262,9.505500,-19.000000,27.505500,0.590653,82.325539,1379,395,5523
263,18.700167,-17.000000,33.700167,0.589472,102.114606,1696,399,5544
264,37.355500,-15.000000,49.355500,0.588293,150.993285,2484,405,5565
265,4.685500,-19.000000,22.685500,0.587116,68.663857,1137,407,5586
266,30.086000,-15.000000,42.086000,0.585942,127.413590,2123,413,5607
267,15.832833,-20.000000,35.332833,0.584770,106.368956,1773,414,5628
268,12.285833,-17.000000,27.285833,0.583600,82.976577,1385,418,5649
269,17.317500,-18.000000,33.817500,0.582433,102.337446,1713,421,5670
270,29.780500,-19.000000,47.780500,0.581268,144.058853,2406,423,5691
271,13.162667,-20.000000,32.662667,0.580106,99.176559,1644,424,5712
272,2.340167,-21.000000,23.340167,0.578946,72.830222,1190,424,5733
273,24.303167,-16.000000,37.803167,0.577788,114.533942,1905,429,5754
274,8.170333,-19.000000,26.170333,0.576632,79.144880,1318,431,5775
275,20.898167,-16.000000,34.398167,0.575479,103.717862,1727,436,5796
276,26.733000,-16.000000,40.233000,0.574328,120.700120,2023,441,5817
277,7.027500,-20.000000,26.527500,0.573179,80.483384,1342,442,5838
278,9.577500,-20.000000,29.077500,0.572033,87.982593,1467,443,5859
279,18.672667,-18.000000,35.172667,0.570889,105.927689,1773,446,5880
280,18.247833,-16.000000,31.747833,0.569747,96.738357,1604,451,5901
281,38.763000,-16.000000,52.263000,0.568608,158.757455,2629,456,5922
282,13.242667,-20.000000,32.742667,0.567470,98.727723,1650,457,5943
283,15.930000,-17.000000,30.930000,0.566335,94.034082,1567,461,5964
284,18.712667,-18.000000,35.212667,0.565203,106.874198,1776,464,5985
285,16.867500,-20.000000,36.367500,0.564072,110.160049,1830,465,6006
286,28.240833,-17.000000,43.240833,0.562944,129.872679,2172,469,6027
287,19.450833,-15.000000,31.450833,0.561818,95.223203,1580,475,6048
288,20.638000,-16.000000,34.138000,0.560695,104.328872,1726,480,6069
289,30.298333,-16.000000,43.798333,0.559573,137.684124,2204,485,6090
290,15.140167,-19.000000,33.140167,0.558454,100.788920,1683,487,6111
291,32.635667,-15.000000,44.635667,0.557337,135.709936,2243,493,6132
292,7.140000,-21.000000,28.140000,0.556223,86.191612,1431,493,6153
293,10.632500,-20.000000,30.132500,0.555110,92.281750,1522,494,6174
294,18.480000,-17.000000,33.480000,0.554000,101.616937,1684,498,6195
295,22.238000,-18.000000,38.738000,0.552892,117.873332,1953,501,6216
296,36.858500,-18.000000,53.358500,0.551786,162.657840,2681,504,6237
297,16.715500,-19.000000,34.715500,0.550683,108.073476,1741,506,6258
298,27.502667,-14.000000,38.002667,0.549581,115.623702,1914,513,6279
299,27.563000,-20.000000,47.063000,0.548482,142.276250,2366,514,6300
300,19.197500,-20.000000,38.697500,0.547385,117.276724,1946,515,6321
301,23.067833,-16.000000,36.567833,0.546290,111.842503,1847,520,6342
302,32.920167,-17.000000,47.920167,0.545198,145.573126,2412,524,6363
303,31.705833,-17.000000,46.705833,0.544107,143.068013,2351,528,6384
304,24.968333,-18.000000,41.468333,0.543019,127.434363,2081,531,6405
305,16.050667,-17.000000,31.050667,0.541933,95.813074,1570,535,6426
306,22.165333,-17.000000,37.165333,0.540849,113.712343,1874,539,6447
307,20.067833,-18.000000,36.567833,0.539767,112.241933,1835,542,6468
308,22.987667,-16.000000,36.487667,0.538688,112.239909,1844,547,6489
309,18.600833,-17.000000,33.600833,0.537611,103.382836,1688,551,6510
310,32.688167,-16.000000,46.188167,0.536535,142.054730,2323,556,6531
311,25.590333,-17.000000,40.590333,0.535462,125.122440,2046,560,6552
312,39.545167,-15.000000,51.545167,0.534391,160.504817,2608,566,6573
313,27.157833,-18.000000,43.657833,0.533323,133.382404,2200,569,6594
314,26.673167,-16.000000,40.173167,0.532256,123.545551,2026,574,6615
315,13.945667,-19.000000,31.945667,0.531191,99.844557,1621,576,6636
316,28.320500,-17.000000,43.320500,0.530129,132.592835,2184,580,6657
317,29.111167,-15.000000,41.111167,0.529069,125.906589,2064,586,6678
318,40.787833,-14.000000,51.287833,0.528011,158.690816,2581,593,6699
319,28.565833,-13.000000,37.565833,0.526955,116.101113,1889,601,6720
320,36.433333,-16.000000,49.933333,0.525901,153.935713,2513,606,6741
321,24.667833,-18.000000,41.167833,0.524849,126.755997,2070,609,6762
322,17.831000,-19.000000,35.831000,0.523799,110.251136,1804,611,6783
323,6.915000,-19.000000,24.915000,0.522752,76.728586,1257,613,6804
324,32.968500,-16.000000,46.468500,0.521706,143.348273,2332,618,6825
325,24.968333,-18.000000,41.468333,0.520663,127.366921,2081,621,6846
